indicativo,altitud,tmed,hrMedia_mean,latitud_dd,longitud_dd,cluster
2422,734,13.7526395173454,63.05781799899447,41.64083333333333,-4.754166666666666,4
2430Y,1178,12.438767545209323,57.19135039756795,40.54333333333333,-5.0441666666666665,4
2444,1130,12.495875251509053,59.50603621730382,40.65916666666666,-4.679722222222223,4
2453E,920,12.782402234636871,61.69211669770329,40.82888888888889,-4.741944444444444,4
2456B,820,13.03620246659815,60.080935251798564,41.07138888888889,-4.73,4
2462,1893,8.275615763546798,68.72783251231527,40.793055555555554,-4.010555555555555,3
2465,1008,13.096954595791804,57.40143964562569,40.945277777777775,-4.126388888888888,4
2471Y,1237,10.994901836605447,64.62824572514249,40.71861111111112,-4.211944444444445,3
2482B,870,12.715008505299611,62.2290698914874,41.12638888888889,-4.375833333333333,4
2491C,1960,7.251293568239959,62.617439058168166,40.355,-5.69,3
2503B,786,13.107085346215781,62.559983896940416,41.28,-4.691944444444444,4
2503X,740,13.275956284153006,68.11612021857924,41.325833333333335,-4.686944444444444,4
2507Y,724,13.454220566297899,62.794601382436866,41.41944444444445,-4.963611111111112,4
2512Y,925,13.255826330532214,60.785434173669465,40.88222222222223,-5.018611111111111,4
2517A,755,13.348814926878468,58.31779400612741,41.172777777777775,-4.939722222222223,4
2536D,710,13.573460591133005,63.15363300492611,41.54833333333333,-5.271388888888889,4
2539,846,12.67185104052574,62.0197152245345,41.71194444444445,-4.855555555555555,4
2555B,811,13.189158279963403,61.184354986276304,41.236666666666665,-5.481388888888889,4
2565,702,14.267090395480226,62.92372881355932,41.555277777777775,-5.630555555555556,4
2568D,985,11.298621323529412,66.2890625,42.52361111111111,-4.851111111111111,1
2593D,782,12.981663929939792,64.02900930487138,42.094166666666666,-5.041111111111111,4
2604B,731,12.986263736263735,61.808302808302805,41.87583333333333,-5.040277777777778,4
2611D,690,13.130432402846196,62.9080459770115,41.85638888888889,-5.592499999999999,4
2614,656,14.518609742747675,61.4887794198139,41.51555555555556,-5.735277777777778,4
2624C,1090,10.544653850525448,72.99063731550697,42.958333333333336,-5.0075,0
2626Y,916,10.819093023255814,65.74651162790698,42.62,-5.193333333333333,1
2630X,1510,6.894405976883648,71.46374784766925,43.06222222222222,-5.376944444444444,0
2661,916,11.910173357664233,63.844406563577664,42.58833333333334,-5.651111111111112,1
2661B,912,20.348275862068967,41.13793103448276,42.59944444444445,-5.643611111111111,4
2664B,788,12.190432098765433,61.750881834215164,42.29583333333333,-5.504722222222222,4
2701D,1120,10.78258492720547,69.53850596914603,42.88555555555556,-5.870833333333334,0
2728B,995,11.352701443875175,68.40870982766651,42.64833333333333,-6.070833333333333,3
2734D,919,12.573061526085281,62.266975140192734,42.47666666666667,-6.0744444444444445,1
2737E,1020,10.560084995269897,62.91374410493539,42.3775,-6.196666666666667,1
2742R,850,11.944569123960598,65.06515124426328,42.46638888888889,-5.779722222222222,1
2755X,715,13.643838429940667,57.246006389776355,42.01083333333333,-5.666666666666667,4
2766E,933,10.331408140814082,70.3883388338834,42.0825,-6.639722222222222,0
2775X,850,12.173413705583757,59.21573604060914,41.94138888888889,-6.279722222222222,4
2777K,737,12.327172413793102,61.40275862068965,42.07805555555556,-6.007222222222223,4
2789H,711,13.255656788139119,63.01733940760855,41.785555555555554,-5.908888888888889,4
2804F,790,13.011882472759515,65.05188742288908,41.53388888888889,-6.141944444444444,4
2811A,1525,10.07327291299165,62.65680117420043,40.35055555555556,-5.143055555555556,3
2828Y,1012,11.853757338551858,59.39686888454012,40.35527777777778,-5.519166666666667,1
2847X,865,12.057033797818816,64.43249056396677,40.67555555555556,-5.643333333333333,4
2863C,897,12.13084910013844,62.15306330552667,40.73222222222223,-5.366111111111111,4
2867,790,12.685952902519167,63.832968236582694,40.95944444444445,-5.498333333333333,4
2870,775,14.248701575138355,63.023201362281824,40.9575,-5.662222222222223,4
2873X,817,12.47309407948094,64.02578949820894,40.90361111111111,-5.779722222222222,4
2882D,1003,13.340979926013944,68.56712900116963,41.23888888888889,-5.8975,1
2885K,804,12.376697926065228,64.1189644731728,41.30444444444444,-6.022222222222222,1
2891A,690,14.356113779091245,63.685260435906905,41.26277777777778,-6.462222222222223,4
2914C,785,13.072465075569967,65.2334156124653,40.78611111111111,-6.202777777777778,4
2916A,769,13.79705915039156,60.78729096636444,41.01138888888889,-6.437777777777778,4
2918Y,1027,12.578875354666899,62.87744923830549,40.56944444444445,-6.223611111111111,3
2926B,748,12.992000662471016,66.1726057510343,40.85138888888889,-6.608888888888888,1
2930Y,880,11.33239082626453,71.09695594126765,40.29666666666667,-6.812777777777778,0
2945A,805,12.851214022984841,67.26220775377331,40.485,-6.576944444444444,1
2946X,680,13.956709137270048,58.09958962660506,40.635,-6.6,4
2966D,840,12.741589192330041,66.89922945853235,41.68333333333333,-6.301388888888889,1
2969U,910,12.499578914535247,69.59560199625702,42.02722222222222,-7.183055555555556,0
2978X,380,14.00837159473523,69.417661463116,41.92666666666666,-7.421944444444445,1
3013,1062,11.620377128953772,61.577402676399025,40.84166666666667,-1.8788888888888888,4
3021Y,1250,11.741392047687551,62.30540458835912,40.75833333333333,-2.199722222222222,4
3040Y,1214,11.288558205257349,63.0983512589616,40.57166666666667,-2.0763888888888893,4
3044X,928,12.91421052631579,65.03350652887742,40.530277777777776,-2.15,3
3085Y,920,14.353863242479322,58.632711498003914,40.407777777777774,-2.953055555555556,4
3094B,819,16.12629852882372,52.008860862503546,40.011944444444445,-3.0213888888888887,4
